PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500]
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01201,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,1.99,1.99,1.99,,,,,,,,,,,<2,ICP40B,2,10,5.02,ICP40B,0.01,15,9,ICP40B,3,10000,295,ICP40B,1,10000,1.3,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.14,ICP40B,0.01,15,<1,ICP40B,1,10000,2,ICP40B,1,10000,13,ICP40B,1,10000,16.6,ICP40B,0.5,10000,1.51,ICP40B,0.01,15,3.24,ICP40B,0.01,15,13.1,ICP40B,0.5,10000,24,ICP40B,1,10000,0.70,ICP40B,0.01,15,844,ICP40B,2,10000,2,ICP40B,1,10000,0.85,ICP40B,0.01,15,13,ICP40B,1,10000,0.05,ICP40B,0.01,15,8,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,2.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,71.4,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,22,ICP40B,2,10000,<10,ICP40B,10,10000,8.9,ICP40B,0.5,10000,13,ICP40B,1,10000,46.4,ICP40B,0.5,10000,,AAS42S,5,500,PAL01201,1.99,1.99,-,-,-,-,-,-,-,-,-,-,<2,5.02,9,295,1.3,<5,1.14,<1,2,13,16.6,1.51,3.24,13.1,24,0.70,844,2,0.85,13,0.05,8,0.02,<5,2.9,<10,71.4,0.11,22,<10,8.9,13,46.4,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01202,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,2.06,2.06,2.06,,,,,,,,,,,<2,ICP40B,2,10,4.68,ICP40B,0.01,15,7,ICP40B,3,10000,344,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.51,ICP40B,0.01,15,<1,ICP40B,1,10000,2,ICP40B,1,10000,13,ICP40B,1,10000,2.7,ICP40B,0.5,10000,1.41,ICP40B,0.01,15,2.91,ICP40B,0.01,15,10.3,ICP40B,0.5,10000,19,ICP40B,1,10000,0.78,ICP40B,0.01,15,1113,ICP40B,2,10000,1,ICP40B,1,10000,0.89,ICP40B,0.01,15,11,ICP40B,1,10000,0.04,ICP40B,0.01,15,9,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,2.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,73.8,ICP40B,0.5,5000,0.10,ICP40B,0.01,15,19,ICP40B,2,10000,<10,ICP40B,10,10000,8.0,ICP40B,0.5,10000,12,ICP40B,1,10000,38.6,ICP40B,0.5,10000,,AAS42S,5,500,PAL01202,2.06,2.06,-,-,-,-,-,-,-,-,-,-,<2,4.68,7,344,1.0,<5,1.51,<1,2,13,2.7,1.41,2.91,10.3,19,0.78,1113,1,0.89,11,0.04,9,0.02,<5,2.5,<10,73.8,0.10,19,<10,8.0,12,38.6,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01203,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,2.12,2.12,2.12,,,,,,,,,,,<2,ICP40B,2,10,4.07,ICP40B,0.01,15,14,ICP40B,3,10000,443,ICP40B,1,10000,0.8,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.99,ICP40B,0.01,15,<1,ICP40B,1,10000,2,ICP40B,1,10000,12,ICP40B,1,10000,3.3,ICP40B,0.5,10000,1.45,ICP40B,0.01,15,2.55,ICP40B,0.01,15,11.0,ICP40B,0.5,10000,20,ICP40B,1,10000,0.49,ICP40B,0.01,15,829,ICP40B,2,10000,1,ICP40B,1,10000,0.96,ICP40B,0.01,15,11,ICP40B,1,10000,0.04,ICP40B,0.01,15,9,ICP40B,2,10000,0.03,ICP40B,0.01,5,<5,ICP40B,5,10000,2.4,ICP40B,0.5,10000,<10,ICP40B,10,10000,83.1,ICP40B,0.5,5000,0.10,ICP40B,0.01,15,22,ICP40B,2,10000,<10,ICP40B,10,10000,6.8,ICP40B,0.5,10000,12,ICP40B,1,10000,39.2,ICP40B,0.5,10000,,AAS42S,5,500,PAL01203,2.12,2.12,-,-,-,-,-,-,-,-,-,-,<2,4.07,14,443,0.8,<5,0.99,<1,2,12,3.3,1.45,2.55,11.0,20,0.49,829,1,0.96,11,0.04,9,0.03,<5,2.4,<10,83.1,0.10,22,<10,6.8,12,39.2,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01204,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,2.13,2.13,2.13,,,,,,,,,,,<2,ICP40B,2,10,4.73,ICP40B,0.01,15,12,ICP40B,3,10000,356,ICP40B,1,10000,1.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.95,ICP40B,0.01,15,<1,ICP40B,1,10000,2,ICP40B,1,10000,14,ICP40B,1,10000,2.7,ICP40B,0.5,10000,1.54,ICP40B,0.01,15,2.86,ICP40B,0.01,15,12.5,ICP40B,0.5,10000,19,ICP40B,1,10000,0.52,ICP40B,0.01,15,766,ICP40B,2,10000,1,ICP40B,1,10000,0.93,ICP40B,0.01,15,12,ICP40B,1,10000,0.04,ICP40B,0.01,15,7,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,3.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,76.8,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,27,ICP40B,2,10000,<10,ICP40B,10,10000,7.8,ICP40B,0.5,10000,11,ICP40B,1,10000,41.1,ICP40B,0.5,10000,,AAS42S,5,500,PAL01204,2.13,2.13,-,-,-,-,-,-,-,-,-,-,<2,4.73,12,356,1.1,<5,0.95,<1,2,14,2.7,1.54,2.86,12.5,19,0.52,766,1,0.93,12,0.04,7,0.02,<5,3.2,<10,76.8,0.11,27,<10,7.8,11,41.1,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,*DUP-PAL01204,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,4.53,ICP40B,0.01,15,11,ICP40B,3,10000,345,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.92,ICP40B,0.01,15,<1,ICP40B,1,10000,2,ICP40B,1,10000,14,ICP40B,1,10000,3.3,ICP40B,0.5,10000,1.49,ICP40B,0.01,15,2.73,ICP40B,0.01,15,13.0,ICP40B,0.5,10000,19,ICP40B,1,10000,0.50,ICP40B,0.01,15,755,ICP40B,2,10000,1,ICP40B,1,10000,0.88,ICP40B,0.01,15,12,ICP40B,1,10000,0.04,ICP40B,0.01,15,7,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,3.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,72.5,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,27,ICP40B,2,10000,<10,ICP40B,10,10000,7.7,ICP40B,0.5,10000,11,ICP40B,1,10000,43.3,ICP40B,0.5,10000,,AAS42S,5,500,*DUP-PAL01204,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,4.53,11,345,1.0,<5,0.92,<1,2,14,3.3,1.49,2.73,13.0,19,0.50,755,1,0.88,12,0.04,7,0.02,<5,3.1,<10,72.5,0.11,27,<10,7.7,11,43.3,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01205,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,2.09,2.09,2.09,,,,,,,,,,,<2,ICP40B,2,10,4.26,ICP40B,0.01,15,10,ICP40B,3,10000,329,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.66,ICP40B,0.01,15,<1,ICP40B,1,10000,2,ICP40B,1,10000,14,ICP40B,1,10000,2.1,ICP40B,0.5,10000,1.59,ICP40B,0.01,15,2.46,ICP40B,0.01,15,12.1,ICP40B,0.5,10000,22,ICP40B,1,10000,0.40,ICP40B,0.01,15,472,ICP40B,2,10000,1,ICP40B,1,10000,0.87,ICP40B,0.01,15,11,ICP40B,1,10000,0.04,ICP40B,0.01,15,3,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,3.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,68.9,ICP40B,0.5,5000,0.12,ICP40B,0.01,15,30,ICP40B,2,10000,<10,ICP40B,10,10000,6.9,ICP40B,0.5,10000,10,ICP40B,1,10000,39.0,ICP40B,0.5,10000,,AAS42S,5,500,PAL01205,2.09,2.09,-,-,-,-,-,-,-,-,-,-,<2,4.26,10,329,1.0,<5,0.66,<1,2,14,2.1,1.59,2.46,12.1,22,0.40,472,1,0.87,11,0.04,3,0.02,<5,3.2,<10,68.9,0.12,30,<10,6.9,10,39.0,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01206,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,1.59,1.59,1.59,,,,,,,,,,,<2,ICP40B,2,10,4.51,ICP40B,0.01,15,12,ICP40B,3,10000,337,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.76,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,19,ICP40B,1,10000,2.3,ICP40B,0.5,10000,2.25,ICP40B,0.01,15,2.45,ICP40B,0.01,15,14.6,ICP40B,0.5,10000,27,ICP40B,1,10000,0.82,ICP40B,0.01,15,1394,ICP40B,2,10000,1,ICP40B,1,10000,1.05,ICP40B,0.01,15,16,ICP40B,1,10000,0.04,ICP40B,0.01,15,4,ICP40B,2,10000,0.03,ICP40B,0.01,5,<5,ICP40B,5,10000,4.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,80.7,ICP40B,0.5,5000,0.13,ICP40B,0.01,15,34,ICP40B,2,10000,<10,ICP40B,10,10000,9.2,ICP40B,0.5,10000,19,ICP40B,1,10000,40.7,ICP40B,0.5,10000,,AAS42S,5,500,PAL01206,1.59,1.59,-,-,-,-,-,-,-,-,-,-,<2,4.51,12,337,1.0,<5,1.76,<1,5,19,2.3,2.25,2.45,14.6,27,0.82,1394,1,1.05,16,0.04,4,0.03,<5,4.0,<10,80.7,0.13,34,<10,9.2,19,40.7,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01207,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,1.29,1.29,1.29,500.0,77.00,23.00,385.0,115.0,20.0,86.50,13.50,17.3,2.7,<2,ICP40B,2,10,4.83,ICP40B,0.01,15,37,ICP40B,3,10000,301,ICP40B,1,10000,1.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.33,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,24,ICP40B,1,10000,2.8,ICP40B,0.5,10000,2.33,ICP40B,0.01,15,2.64,ICP40B,0.01,15,24.3,ICP40B,0.5,10000,24,ICP40B,1,10000,0.68,ICP40B,0.01,15,1003,ICP40B,2,10000,2,ICP40B,1,10000,0.93,ICP40B,0.01,15,22,ICP40B,1,10000,0.05,ICP40B,0.01,15,7,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,4.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,80.7,ICP40B,0.5,5000,0.17,ICP40B,0.01,15,41,ICP40B,2,10000,<10,ICP40B,10,10000,10.4,ICP40B,0.5,10000,17,ICP40B,1,10000,73.7,ICP40B,0.5,10000,,AAS42S,5,500,PAL01207,1.29,1.29,500.0,77.00,23.00,385.0,115.0,20.0,86.50,13.50,17.3,2.7,<2,4.83,37,301,1.2,<5,1.33,<1,4,24,2.8,2.33,2.64,24.3,24,0.68,1003,2,0.93,22,0.05,7,0.02,<5,4.6,<10,80.7,0.17,41,<10,10.4,17,73.7,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01208,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,1.38,1.38,1.38,,,,,,,,,,,<2,ICP40B,2,10,0.52,ICP40B,0.01,15,<3,ICP40B,3,10000,18,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,4,ICP40B,1,10000,1.2,ICP40B,0.5,10000,0.52,ICP40B,0.01,15,0.18,ICP40B,0.01,15,3.7,ICP40B,0.5,10000,5,ICP40B,1,10000,12.3,ICP40B,0.01,15,689,ICP40B,2,10000,<1,ICP40B,1,10000,0.04,ICP40B,0.01,15,4,ICP40B,1,10000,<0.01,ICP40B,0.01,15,5,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,32.7,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,3.1,ICP40B,0.5,10000,56,ICP40B,1,10000,9.4,ICP40B,0.5,10000,,AAS42S,5,500,PAL01208,1.38,1.38,-,-,-,-,-,-,-,-,-,-,<2,0.52,<3,18,<0.5,<5,>15,<1,<1,4,1.2,0.52,0.18,3.7,5,12.3,689,<1,0.04,4,<0.01,5,0.02,<5,<0.5,<10,32.7,<0.01,<2,<10,3.1,56,9.4,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01209,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,1.25,1.25,1.25,,,,,,,,,,,<2,ICP40B,2,10,3.66,ICP40B,0.01,15,14,ICP40B,3,10000,190,ICP40B,1,10000,1.4,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,33,ICP40B,1,10000,11.6,ICP40B,0.5,10000,1.77,ICP40B,0.01,15,1.76,ICP40B,0.01,15,13.8,ICP40B,0.5,10000,65,ICP40B,1,10000,1.28,ICP40B,0.01,15,824,ICP40B,2,10000,<1,ICP40B,1,10000,0.26,ICP40B,0.01,15,15,ICP40B,1,10000,0.03,ICP40B,0.01,15,54,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,5.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,1420,ICP40B,0.5,5000,0.14,ICP40B,0.01,15,41,ICP40B,2,10000,<10,ICP40B,10,10000,8.8,ICP40B,0.5,10000,115,ICP40B,1,10000,30.3,ICP40B,0.5,10000,,AAS42S,5,500,PAL01209,1.25,1.25,-,-,-,-,-,-,-,-,-,-,<2,3.66,14,190,1.4,<5,>15,<1,5,33,11.6,1.77,1.76,13.8,65,1.28,824,<1,0.26,15,0.03,54,>5,<5,5.3,<10,1420,0.14,41,<10,8.8,115,30.3,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01210,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,0.98,0.98,0.98,,,,,,,,,,,<2,ICP40B,2,10,3.41,ICP40B,0.01,15,15,ICP40B,3,10000,136,ICP40B,1,10000,1.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,29,ICP40B,1,10000,8.1,ICP40B,0.5,10000,2.63,ICP40B,0.01,15,1.51,ICP40B,0.01,15,15.8,ICP40B,0.5,10000,67,ICP40B,1,10000,3.24,ICP40B,0.01,15,2714,ICP40B,2,10000,<1,ICP40B,1,10000,0.23,ICP40B,0.01,15,16,ICP40B,1,10000,0.04,ICP40B,0.01,15,118,ICP40B,2,10000,0.41,ICP40B,0.01,5,<5,ICP40B,5,10000,4.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,404,ICP40B,0.5,5000,0.12,ICP40B,0.01,15,40,ICP40B,2,10000,<10,ICP40B,10,10000,11.8,ICP40B,0.5,10000,50,ICP40B,1,10000,31.7,ICP40B,0.5,10000,,AAS42S,5,500,PAL01210,0.98,0.98,-,-,-,-,-,-,-,-,-,-,<2,3.41,15,136,1.2,<5,>15,<1,5,29,8.1,2.63,1.51,15.8,67,3.24,2714,<1,0.23,16,0.04,118,0.41,<5,4.9,<10,404,0.12,40,<10,11.8,50,31.7,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01211,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,1.17,1.17,1.17,,,,,,,,,,,<2,ICP40B,2,10,4.18,ICP40B,0.01,15,17,ICP40B,3,10000,191,ICP40B,1,10000,1.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,6,ICP40B,1,10000,47,ICP40B,1,10000,11.0,ICP40B,0.5,10000,1.89,ICP40B,0.01,15,1.97,ICP40B,0.01,15,18.1,ICP40B,0.5,10000,76,ICP40B,1,10000,1.05,ICP40B,0.01,15,1682,ICP40B,2,10000,1,ICP40B,1,10000,0.29,ICP40B,0.01,15,18,ICP40B,1,10000,0.04,ICP40B,0.01,15,89,ICP40B,2,10000,0.36,ICP40B,0.01,5,<5,ICP40B,5,10000,6.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,1614,ICP40B,0.5,5000,0.16,ICP40B,0.01,15,47,ICP40B,2,10000,<10,ICP40B,10,10000,14.6,ICP40B,0.5,10000,44,ICP40B,1,10000,40.3,ICP40B,0.5,10000,,AAS42S,5,500,PAL01211,1.17,1.17,-,-,-,-,-,-,-,-,-,-,<2,4.18,17,191,1.6,<5,>15,<1,6,47,11.0,1.89,1.97,18.1,76,1.05,1682,1,0.29,18,0.04,89,0.36,<5,6.1,<10,1614,0.16,47,<10,14.6,44,40.3,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01212,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,1.32,1.32,1.32,,,,,,,,,,,<2,ICP40B,2,10,4.48,ICP40B,0.01,15,18,ICP40B,3,10000,157,ICP40B,1,10000,1.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,47,ICP40B,1,10000,16.3,ICP40B,0.5,10000,1.79,ICP40B,0.01,15,2.06,ICP40B,0.01,15,19.6,ICP40B,0.5,10000,77,ICP40B,1,10000,0.83,ICP40B,0.01,15,1304,ICP40B,2,10000,1,ICP40B,1,10000,0.32,ICP40B,0.01,15,18,ICP40B,1,10000,0.04,ICP40B,0.01,15,15,ICP40B,2,10000,0.28,ICP40B,0.01,5,<5,ICP40B,5,10000,6.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,671,ICP40B,0.5,5000,0.17,ICP40B,0.01,15,51,ICP40B,2,10000,<10,ICP40B,10,10000,13.2,ICP40B,0.5,10000,35,ICP40B,1,10000,40.5,ICP40B,0.5,10000,,AAS42S,5,500,PAL01212,1.32,1.32,-,-,-,-,-,-,-,-,-,-,<2,4.48,18,157,1.6,<5,>15,<1,7,47,16.3,1.79,2.06,19.6,77,0.83,1304,1,0.32,18,0.04,15,0.28,<5,6.5,<10,671,0.17,51,<10,13.2,35,40.5,-
Tannenberg,TR2503152,24-Dec-25,06-Feb-26,,PAL01213,Core,Drill Core,Drillhole,TR2503152     105             368,24-Dec-25,06-Feb-26,TR2503152,TR2503152     105             368,,1.17,1.17,1.17,,,,,,,,,,,<2,ICP40B,2,10,4.80,ICP40B,0.01,15,22,ICP40B,3,10000,181,ICP40B,1,10000,1.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,8,ICP40B,1,10000,34,ICP40B,1,10000,18.4,ICP40B,0.5,10000,1.97,ICP40B,0.01,15,2.19,ICP40B,0.01,15,20.1,ICP40B,0.5,10000,79,ICP40B,1,10000,0.86,ICP40B,0.01,15,1528,ICP40B,2,10000,2,ICP40B,1,10000,0.34,ICP40B,0.01,15,19,ICP40B,1,10000,0.04,ICP40B,0.01,15,15,ICP40B,2,10000,0.32,ICP40B,0.01,5,<5,ICP40B,5,10000,6.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,1120,ICP40B,0.5,5000,0.17,ICP40B,0.01,15,46,ICP40B,2,10000,<10,ICP40B,10,10000,14.6,ICP40B,0.5,10000,36,ICP40B,1,10000,42.6,ICP40B,0.5,10000,,AAS42S,5,500,PAL01213,1.17,1.17,-,-,-,-,-,-,-,-,-,-,<2,4.80,22,181,1.7,<5,>15,<1,8,34,18.4,1.97,2.19,20.1,79,0.86,1528,2,0.34,19,0.04,15,0.32,<5,6.7,<10,1120,0.17,46,<10,14.6,36,42.6,-
