PROJECTCOD,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD,Pb_pct,Pb_pct_GMD,Pb_pct_LDD,Pb_pct_UDD,Zn_pct,Zn_pct_GMD,Zn_pct_LDD,Zn_pct_UDD
Tannenberg Copper Project,,PAL01284,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.84,0.84,0.84,,,,,,,,,,,<2,ICP40B,2,10,2.16,ICP40B,0.01,15,10,ICP40B,3,10000,155,ICP40B,1,10000,0.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,2,ICP40B,1,10000,4,ICP40B,1,10000,19,ICP40B,1,10000,9.5,ICP40B,0.5,10000,1.42,ICP40B,0.01,15,0.75,ICP40B,0.01,15,8.7,ICP40B,0.5,10000,34,ICP40B,1,10000,3.62,ICP40B,0.01,15,2912,ICP40B,2,10000,<1,ICP40B,1,10000,0.20,ICP40B,0.01,15,13,ICP40B,1,10000,0.02,ICP40B,0.01,15,162,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,2.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,897,ICP40B,0.5,5000,0.08,ICP40B,0.01,15,25,ICP40B,2,10000,<10,ICP40B,10,10000,6.0,ICP40B,0.5,10000,517,ICP40B,1,10000,24.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01285,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.75,0.75,0.75,,,,,,,,,,,<2,ICP40B,2,10,2.02,ICP40B,0.01,15,9,ICP40B,3,10000,136,ICP40B,1,10000,0.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,3,ICP40B,1,10000,17,ICP40B,1,10000,6.4,ICP40B,0.5,10000,1.36,ICP40B,0.01,15,0.65,ICP40B,0.01,15,11.7,ICP40B,0.5,10000,32,ICP40B,1,10000,2.95,ICP40B,0.01,15,3422,ICP40B,2,10000,<1,ICP40B,1,10000,0.26,ICP40B,0.01,15,13,ICP40B,1,10000,0.02,ICP40B,0.01,15,59,ICP40B,2,10000,0.44,ICP40B,0.01,5,<5,ICP40B,5,10000,3.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,255,ICP40B,0.5,5000,0.07,ICP40B,0.01,15,23,ICP40B,2,10000,<10,ICP40B,10,10000,10.1,ICP40B,0.5,10000,113,ICP40B,1,10000,25.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01286,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.15,1.15,1.15,500.0,77.20,22.80,386.0,114.0,20.0,85.00,15.00,17.0,3.0,<2,ICP40B,2,10,2.97,ICP40B,0.01,15,11,ICP40B,3,10000,191,ICP40B,1,10000,0.9,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,23,ICP40B,1,10000,11.4,ICP40B,0.5,10000,0.91,ICP40B,0.01,15,1.04,ICP40B,0.01,15,13.3,ICP40B,0.5,10000,41,ICP40B,1,10000,0.62,ICP40B,0.01,15,1833,ICP40B,2,10000,<1,ICP40B,1,10000,0.29,ICP40B,0.01,15,14,ICP40B,1,10000,0.03,ICP40B,0.01,15,100,ICP40B,2,10000,0.49,ICP40B,0.01,5,<5,ICP40B,5,10000,4.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,357,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,28,ICP40B,2,10000,<10,ICP40B,10,10000,8.7,ICP40B,0.5,10000,179,ICP40B,1,10000,33.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01287,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.18,1.18,1.18,,,,,,,,,,,<2,ICP40B,2,10,3.01,ICP40B,0.01,15,7,ICP40B,3,10000,188,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,23,ICP40B,1,10000,8.6,ICP40B,0.5,10000,1.18,ICP40B,0.01,15,1.09,ICP40B,0.01,15,12.8,ICP40B,0.5,10000,45,ICP40B,1,10000,0.54,ICP40B,0.01,15,1824,ICP40B,2,10000,<1,ICP40B,1,10000,0.26,ICP40B,0.01,15,15,ICP40B,1,10000,0.03,ICP40B,0.01,15,52,ICP40B,2,10000,0.60,ICP40B,0.01,5,<5,ICP40B,5,10000,4.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,1129,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,30,ICP40B,2,10000,<10,ICP40B,10,10000,9.2,ICP40B,0.5,10000,28,ICP40B,1,10000,30.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,*DUP-PAL01287,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,2.97,ICP40B,0.01,15,7,ICP40B,3,10000,184,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,5,ICP40B,1,10000,22,ICP40B,1,10000,8.8,ICP40B,0.5,10000,1.15,ICP40B,0.01,15,1.07,ICP40B,0.01,15,12.7,ICP40B,0.5,10000,43,ICP40B,1,10000,0.54,ICP40B,0.01,15,1791,ICP40B,2,10000,<1,ICP40B,1,10000,0.25,ICP40B,0.01,15,13,ICP40B,1,10000,0.03,ICP40B,0.01,15,52,ICP40B,2,10000,0.57,ICP40B,0.01,5,<5,ICP40B,5,10000,4.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,1096,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,27,ICP40B,2,10000,<10,ICP40B,10,10000,9.2,ICP40B,0.5,10000,28,ICP40B,1,10000,30.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01288,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.05,1.05,1.05,,,,,,,,,,,<2,ICP40B,2,10,4.11,ICP40B,0.01,15,7,ICP40B,3,10000,216,ICP40B,1,10000,1.3,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,29,ICP40B,1,10000,8.8,ICP40B,0.5,10000,1.42,ICP40B,0.01,15,1.39,ICP40B,0.01,15,18.8,ICP40B,0.5,10000,51,ICP40B,1,10000,0.56,ICP40B,0.01,15,1574,ICP40B,2,10000,<1,ICP40B,1,10000,0.47,ICP40B,0.01,15,17,ICP40B,1,10000,0.03,ICP40B,0.01,15,31,ICP40B,2,10000,0.44,ICP40B,0.01,5,<5,ICP40B,5,10000,5.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,1430,ICP40B,0.5,5000,0.17,ICP40B,0.01,15,39,ICP40B,2,10000,<10,ICP40B,10,10000,12.3,ICP40B,0.5,10000,17,ICP40B,1,10000,53.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01289,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.11,1.11,1.11,,,,,,,,,,,<2,ICP40B,2,10,4.49,ICP40B,0.01,15,10,ICP40B,3,10000,203,ICP40B,1,10000,1.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,33,ICP40B,1,10000,13.4,ICP40B,0.5,10000,1.61,ICP40B,0.01,15,1.59,ICP40B,0.01,15,19.0,ICP40B,0.5,10000,58,ICP40B,1,10000,0.65,ICP40B,0.01,15,1523,ICP40B,2,10000,<1,ICP40B,1,10000,0.44,ICP40B,0.01,15,25,ICP40B,1,10000,0.03,ICP40B,0.01,15,105,ICP40B,2,10000,0.39,ICP40B,0.01,5,5,ICP40B,5,10000,6.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,1385,ICP40B,0.5,5000,0.17,ICP40B,0.01,15,44,ICP40B,2,10000,<10,ICP40B,10,10000,13.0,ICP40B,0.5,10000,57,ICP40B,1,10000,48.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01290,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.06,1.06,1.06,,,,,,,,,,,<2,ICP40B,2,10,6.12,ICP40B,0.01,15,11,ICP40B,3,10000,174,ICP40B,1,10000,2.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,9,ICP40B,1,10000,37,ICP40B,1,10000,15.1,ICP40B,0.5,10000,1.95,ICP40B,0.01,15,2.08,ICP40B,0.01,15,25.9,ICP40B,0.5,10000,74,ICP40B,1,10000,0.78,ICP40B,0.01,15,1480,ICP40B,2,10000,<1,ICP40B,1,10000,0.59,ICP40B,0.01,15,27,ICP40B,1,10000,0.04,ICP40B,0.01,15,164,ICP40B,2,10000,0.32,ICP40B,0.01,5,<5,ICP40B,5,10000,8.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,305,ICP40B,0.5,5000,0.22,ICP40B,0.01,15,50,ICP40B,2,10000,<10,ICP40B,10,10000,16.6,ICP40B,0.5,10000,46,ICP40B,1,10000,69.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01291,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.04,1.04,1.04,,,,,,,,,,,<2,ICP40B,2,10,7.62,ICP40B,0.01,15,5,ICP40B,3,10000,270,ICP40B,1,10000,2.4,ICP40B,0.5,2500,<5,ICP40B,5,10000,9.36,ICP40B,0.01,15,<1,ICP40B,1,10000,6,ICP40B,1,10000,63,ICP40B,1,10000,76.2,ICP40B,0.5,10000,2.39,ICP40B,0.01,15,2.61,ICP40B,0.01,15,35.1,ICP40B,0.5,10000,86,ICP40B,1,10000,2.00,ICP40B,0.01,15,1663,ICP40B,2,10000,<1,ICP40B,1,10000,0.78,ICP40B,0.01,15,25,ICP40B,1,10000,0.05,ICP40B,0.01,15,133,ICP40B,2,10000,0.18,ICP40B,0.01,5,5,ICP40B,5,10000,10.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,189,ICP40B,0.5,5000,0.30,ICP40B,0.01,15,74,ICP40B,2,10000,<10,ICP40B,10,10000,18.4,ICP40B,0.5,10000,32,ICP40B,1,10000,97.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01292,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.49,0.49,0.49,,,,,,,,,,,<2,ICP40B,2,10,7.30,ICP40B,0.01,15,12,ICP40B,3,10000,646,ICP40B,1,10000,2.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,5.91,ICP40B,0.01,15,<1,ICP40B,1,10000,10,ICP40B,1,10000,43,ICP40B,1,10000,9.7,ICP40B,0.5,10000,2.86,ICP40B,0.01,15,2.43,ICP40B,0.01,15,31.8,ICP40B,0.5,10000,74,ICP40B,1,10000,3.15,ICP40B,0.01,15,1711,ICP40B,2,10000,1,ICP40B,1,10000,0.80,ICP40B,0.01,15,25,ICP40B,1,10000,0.05,ICP40B,0.01,15,156,ICP40B,2,10000,1.06,ICP40B,0.01,5,6,ICP40B,5,10000,9.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,192,ICP40B,0.5,5000,0.27,ICP40B,0.01,15,66,ICP40B,2,10000,<10,ICP40B,10,10000,14.3,ICP40B,0.5,10000,25,ICP40B,1,10000,94.4,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01293,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.56,0.56,0.56,,,,,,,,,,,<2,ICP40B,2,10,6.84,ICP40B,0.01,15,18,ICP40B,3,10000,247,ICP40B,1,10000,2.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,9.86,ICP40B,0.01,15,<1,ICP40B,1,10000,14,ICP40B,1,10000,58,ICP40B,1,10000,26.7,ICP40B,0.5,10000,3.57,ICP40B,0.01,15,2.35,ICP40B,0.01,15,27.4,ICP40B,0.5,10000,80,ICP40B,1,10000,4.63,ICP40B,0.01,15,1742,ICP40B,2,10000,2,ICP40B,1,10000,0.62,ICP40B,0.01,15,32,ICP40B,1,10000,0.05,ICP40B,0.01,15,321,ICP40B,2,10000,1.30,ICP40B,0.01,5,6,ICP40B,5,10000,9.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,223,ICP40B,0.5,5000,0.25,ICP40B,0.01,15,75,ICP40B,2,10000,<10,ICP40B,10,10000,16.0,ICP40B,0.5,10000,70,ICP40B,1,10000,75.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01294,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,1.07,1.07,1.07,,,,,,,,,,,<2,ICP40B,2,10,0.65,ICP40B,0.01,15,<3,ICP40B,3,10000,17,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,2,ICP40B,1,10000,1.0,ICP40B,0.5,10000,0.50,ICP40B,0.01,15,0.18,ICP40B,0.01,15,3.8,ICP40B,0.5,10000,10,ICP40B,1,10000,12.2,ICP40B,0.01,15,778,ICP40B,2,10000,<1,ICP40B,1,10000,0.05,ICP40B,0.01,15,<1,ICP40B,1,10000,<0.01,ICP40B,0.01,15,8,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,0.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,34.2,ICP40B,0.5,5000,0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,3.5,ICP40B,0.5,10000,33,ICP40B,1,10000,11.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01295,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.57,0.57,0.57,,,,,,,,,,,<2,ICP40B,2,10,5.65,ICP40B,0.01,15,21,ICP40B,3,10000,190,ICP40B,1,10000,1.8,ICP40B,0.5,2500,<5,ICP40B,5,10000,13.7,ICP40B,0.01,15,17,ICP40B,1,10000,13,ICP40B,1,10000,75,ICP40B,1,10000,31.3,ICP40B,0.5,10000,2.82,ICP40B,0.01,15,1.84,ICP40B,0.01,15,30.0,ICP40B,0.5,10000,66,ICP40B,1,10000,3.09,ICP40B,0.01,15,2421,ICP40B,2,10000,23,ICP40B,1,10000,0.62,ICP40B,0.01,15,54,ICP40B,1,10000,0.04,ICP40B,0.01,15,740,ICP40B,2,10000,1.35,ICP40B,0.01,5,<5,ICP40B,5,10000,7.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,238,ICP40B,0.5,5000,0.22,ICP40B,0.01,15,160,ICP40B,2,10000,<10,ICP40B,10,10000,19.4,ICP40B,0.5,10000,4749,ICP40B,1,10000,71.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01296,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.54,0.54,0.54,,,,,,,,,,,2,ICP40B,2,10,4.25,ICP40B,0.01,15,15,ICP40B,3,10000,122,ICP40B,1,10000,1.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,31,ICP40B,1,10000,6,ICP40B,1,10000,66,ICP40B,1,10000,168,ICP40B,0.5,10000,1.61,ICP40B,0.01,15,1.41,ICP40B,0.01,15,22.6,ICP40B,0.5,10000,52,ICP40B,1,10000,1.28,ICP40B,0.01,15,3719,ICP40B,2,10000,55,ICP40B,1,10000,0.44,ICP40B,0.01,15,31,ICP40B,1,10000,0.04,ICP40B,0.01,15,4333,ICP40B,2,10000,1.17,ICP40B,0.01,5,5,ICP40B,5,10000,5.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,309,ICP40B,0.5,5000,0.16,ICP40B,0.01,15,220,ICP40B,2,10000,16,ICP40B,10,10000,15.7,ICP40B,0.5,10000,>10000,ICP40B,1,10000,54.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,1.11,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01297,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,-,,,,,,,,,,,,,>10,ICP40B,2,10,5.32,ICP40B,0.01,15,175,ICP40B,3,10000,16,ICP40B,1,10000,1.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.38,ICP40B,0.01,15,12,ICP40B,1,10000,3,ICP40B,1,10000,32,ICP40B,1,10000,>10000,ICP40B,0.5,10000,2.37,ICP40B,0.01,15,4.52,ICP40B,0.01,15,1.0,ICP40B,0.5,10000,9,ICP40B,1,10000,0.21,ICP40B,0.01,15,155,ICP40B,2,10000,194,ICP40B,1,10000,1.33,ICP40B,0.01,15,18,ICP40B,1,10000,0.05,ICP40B,0.01,15,1443,ICP40B,2,10000,1.24,ICP40B,0.01,5,<5,ICP40B,5,10000,2.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,32.0,ICP40B,0.5,5000,0.07,ICP40B,0.01,15,15,ICP40B,2,10000,<10,ICP40B,10,10000,<0.5,ICP40B,0.5,10000,2574,ICP40B,1,10000,15.2,ICP40B,0.5,10000,16,AAS42S,5,500,2.15,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01298,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.48,0.48,0.48,,,,,,,,,,,8,ICP40B,2,10,4.20,ICP40B,0.01,15,59,ICP40B,3,10000,455,ICP40B,1,10000,1.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.13,ICP40B,0.01,15,<1,ICP40B,1,10000,17,ICP40B,1,10000,12,ICP40B,1,10000,2341,ICP40B,0.5,10000,0.82,ICP40B,0.01,15,2.00,ICP40B,0.01,15,20.0,ICP40B,0.5,10000,30,ICP40B,1,10000,0.21,ICP40B,0.01,15,1091,ICP40B,2,10000,3,ICP40B,1,10000,1.10,ICP40B,0.01,15,7,ICP40B,1,10000,0.03,ICP40B,0.01,15,117,ICP40B,2,10000,0.46,ICP40B,0.01,5,<5,ICP40B,5,10000,2.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,114,ICP40B,0.5,5000,0.08,ICP40B,0.01,15,18,ICP40B,2,10000,<10,ICP40B,10,10000,12.6,ICP40B,0.5,10000,276,ICP40B,1,10000,46.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01299,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.32,0.32,0.32,,,,,,,,,,,7,ICP40B,2,10,4.27,ICP40B,0.01,15,49,ICP40B,3,10000,129,ICP40B,1,10000,2.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,63,ICP40B,1,10000,34,ICP40B,1,10000,85,ICP40B,1,10000,636,ICP40B,0.5,10000,1.54,ICP40B,0.01,15,1.47,ICP40B,0.01,15,27.4,ICP40B,0.5,10000,53,ICP40B,1,10000,0.95,ICP40B,0.01,15,3523,ICP40B,2,10000,165,ICP40B,1,10000,0.45,ICP40B,0.01,15,73,ICP40B,1,10000,0.06,ICP40B,0.01,15,>10000,ICP40B,2,10000,2.03,ICP40B,0.01,5,5,ICP40B,5,10000,6.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,353,ICP40B,0.5,5000,0.16,ICP40B,0.01,15,592,ICP40B,2,10000,34,ICP40B,10,10000,19.1,ICP40B,0.5,10000,>10000,ICP40B,1,10000,55.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,1.15,AAS42S,0.002,2.5,2.37,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01300,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.41,0.41,0.41,,,,,,,,,,,10,ICP40B,2,10,3.44,ICP40B,0.01,15,38,ICP40B,3,10000,504,ICP40B,1,10000,1.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.12,ICP40B,0.01,15,<1,ICP40B,1,10000,12,ICP40B,1,10000,7,ICP40B,1,10000,3050,ICP40B,0.5,10000,0.82,ICP40B,0.01,15,1.99,ICP40B,0.01,15,15.8,ICP40B,0.5,10000,26,ICP40B,1,10000,0.21,ICP40B,0.01,15,731,ICP40B,2,10000,1,ICP40B,1,10000,1.05,ICP40B,0.01,15,6,ICP40B,1,10000,0.03,ICP40B,0.01,15,48,ICP40B,2,10000,0.38,ICP40B,0.01,5,<5,ICP40B,5,10000,2.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,89.6,ICP40B,0.5,5000,0.08,ICP40B,0.01,15,16,ICP40B,2,10000,<10,ICP40B,10,10000,9.0,ICP40B,0.5,10000,81,ICP40B,1,10000,47.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
Tannenberg Copper Project,,PAL01301,Core,Drill Core,Drillhole,TR2502684     133             392,08-Nov-25,14-Nov-25,TR2502684,TR2502684     133             392,,0.55,0.55,0.55,,,,,,,,,,,>10,ICP40B,2,10,3.33,ICP40B,0.01,15,91,ICP40B,3,10000,468,ICP40B,1,10000,1.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.02,ICP40B,0.01,15,<1,ICP40B,1,10000,14,ICP40B,1,10000,9,ICP40B,1,10000,6337,ICP40B,0.5,10000,0.79,ICP40B,0.01,15,2.03,ICP40B,0.01,15,17.0,ICP40B,0.5,10000,27,ICP40B,1,10000,0.24,ICP40B,0.01,15,723,ICP40B,2,10000,<1,ICP40B,1,10000,0.96,ICP40B,0.01,15,6,ICP40B,1,10000,0.02,ICP40B,0.01,15,29,ICP40B,2,10000,0.35,ICP40B,0.01,5,5,ICP40B,5,10000,2.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,79.2,ICP40B,0.5,5000,0.08,ICP40B,0.01,15,15,ICP40B,2,10000,<10,ICP40B,10,10000,7.9,ICP40B,0.5,10000,75,ICP40B,1,10000,47.3,ICP40B,0.5,10000,18,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.002,2.5,,AAS42S,0.001,5
